month,account_id,plan,seats,mrr
2025-02-01,10001,Pro,18,3582.0
2025-03-01,10001,Pro,18,3582.0
2025-04-01,10001,Pro,19,3781.0
2025-05-01,10001,Pro,19,3781.0
2025-06-01,10001,Pro,19,3781.0
2025-07-01,10001,Pro,19,3781.0
2025-08-01,10001,Pro,20,3980.0
2025-09-01,10001,Pro,20,3980.0
2025-10-01,10001,Pro,20,3980.0
2025-11-01,10001,Pro,20,3980.0
2025-12-01,10001,Pro,21,4179.0
2026-04-01,10002,Business,13,6487.0
2026-05-01,10002,Business,13,6487.0
2026-06-01,10002,Business,13,6487.0
2026-07-01,10002,Business,14,6986.0
2026-08-01,10002,Business,14,6986.0
2026-01-01,10003,Business,18,8982.0
2026-02-01,10003,Business,18,8982.0
2026-03-01,10003,Business,19,9481.0
2026-04-01,10003,Business,19,9481.0
2026-05-01,10003,Business,19,9481.0
2026-06-01,10003,Business,19,9481.0
2026-07-01,10003,Business,20,9980.0
2026-08-01,10003,Business,20,9980.0
2025-09-01,10004,Pro,5,995.0
2025-10-01,10004,Pro,5,995.0
2025-11-01,10004,Pro,5,995.0
2025-12-01,10004,Pro,5,995.0
2026-01-01,10004,Pro,5,995.0
2026-02-01,10004,Pro,5,995.0
2026-03-01,10004,Pro,5,995.0
2026-04-01,10004,Pro,6,1194.0
2026-05-01,10004,Pro,6,1194.0
2026-06-01,10004,Pro,6,1194.0
2026-07-01,10004,Pro,6,1194.0
2026-08-01,10004,Pro,6,1194.0
2025-09-01,10005,Enterprise,34,44166.0
2025-10-01,10005,Enterprise,35,45464.99999999999
2025-11-01,10005,Enterprise,35,45464.99999999999
2025-12-01,10005,Enterprise,36,46764.0
2026-01-01,10005,Enterprise,36,46764.0
2026-02-01,10005,Enterprise,37,48062.99999999999
2026-03-01,10005,Enterprise,37,48062.99999999999
2026-04-01,10005,Enterprise,38,49362.0
2026-05-01,10005,Enterprise,38,49362.0
2026-06-01,10005,Enterprise,39,50661.0
2026-07-01,10005,Enterprise,39,50661.0
2026-08-01,10005,Enterprise,40,51960.0
2026-05-01,10006,Business,14,6986.0
2026-06-01,10006,Business,14,6986.0
2026-07-01,10006,Business,14,6986.0
2026-08-01,10006,Business,15,7485.0
2025-02-01,10007,Business,12,5988.0
2025-03-01,10007,Business,12,5988.0
2025-04-01,10007,Business,12,5988.0
2025-05-01,10007,Business,13,6487.0
2025-06-01,10007,Business,13,6487.0
2025-07-01,10007,Business,13,6487.0
2025-08-01,10007,Business,13,6487.0
2025-09-01,10007,Business,13,6487.0
2025-10-01,10007,Business,13,6487.0
2025-11-01,10007,Business,14,6986.0
2025-12-01,10007,Business,14,6986.0
2026-01-01,10007,Business,14,6986.0
2026-02-01,10007,Business,14,6986.0
2026-03-01,10007,Business,14,6986.0
2026-04-01,10007,Business,14,6986.0
2026-05-01,10007,Business,14,6986.0
2026-06-01,10007,Business,14,6986.0
2026-07-01,10007,Business,14,6986.0
2026-08-01,10007,Business,14,6986.0
2026-02-01,10008,Starter,2,158.0
2026-03-01,10008,Starter,2,158.0
2026-04-01,10008,Starter,2,158.0
2026-05-01,10008,Starter,2,158.0
2026-06-01,10008,Starter,2,158.0
2026-07-01,10008,Starter,2,158.0
2026-08-01,10008,Starter,2,158.0
2025-05-01,10009,Pro,8,1592.0
2025-06-01,10009,Pro,8,1592.0
2025-07-01,10009,Pro,8,1592.0
2025-08-01,10009,Pro,8,1592.0
2025-09-01,10009,Pro,8,1592.0
2025-10-01,10009,Pro,9,1791.0
2025-11-01,10009,Pro,9,1791.0
2025-12-01,10009,Pro,9,1791.0
2026-01-01,10009,Pro,9,1791.0
2026-02-01,10009,Pro,9,1791.0
2026-03-01,10009,Pro,9,1791.0
2026-04-01,10009,Pro,9,1791.0
2026-05-01,10009,Pro,9,1791.0
2026-06-01,10009,Pro,9,1791.0
2026-07-01,10009,Pro,9,1791.0
2026-08-01,10009,Pro,9,1791.0
2025-02-01,10010,Pro,5,995.0
2025-03-01,10010,Pro,5,995.0
2025-04-01,10010,Pro,5,995.0
2025-05-01,10010,Pro,5,995.0
2025-06-01,10010,Pro,5,995.0
2025-07-01,10010,Pro,5,995.0
2025-08-01,10010,Pro,5,995.0
2025-09-01,10010,Pro,6,1194.0
2025-10-01,10010,Pro,6,1194.0
2025-11-01,10010,Pro,6,1194.0
2025-12-01,10010,Pro,6,1194.0
2026-01-01,10010,Pro,6,1194.0
2026-02-01,10010,Pro,6,1194.0
2026-03-01,10010,Pro,6,1194.0
2026-04-01,10010,Pro,6,1194.0
2026-05-01,10010,Pro,6,1194.0
2026-06-01,10010,Pro,6,1194.0
2026-07-01,10010,Pro,6,1194.0
2026-08-01,10010,Pro,6,1194.0
2025-11-01,10011,Pro,11,2189.0
2025-12-01,10011,Pro,11,2189.0
