route,origin_city,dest_city,operating_profit,operating_margin_pct,load_factor,q1_to_q4_growth_pct,route_health_score,recommendation
JFK-BOS,New York JFK,Boston,1246765.14,64.65397890715417,0.9036601610007527,2.2284122562674096,68.02100776681449,EXPAND
SEA-PDX,Seattle-Tacoma,Portland,1468490.39,66.57217617159455,0.8060120240480962,-3.629929221435794,64.61029437252625,EXPAND
SEA-DEN,Seattle-Tacoma,Denver,2833936.4400000004,43.41143140749854,0.8639520026665185,41.69334756314479,63.765319217418025,EXPAND
SEA-BOS,Seattle-Tacoma,Boston,5191493.000000002,45.998569109864754,0.8666947744351579,121.89582483340133,62.91008915764604,EXPAND
GEG-ATL,Spokane,Atlanta,4132446.130000001,44.91281981439327,0.8808990337487747,77.01178557850716,61.85463791340335,EXPAND
DFW-MCI,Dallas/Fort Worth,Kansas City,998026.85,31.744875336489013,0.8640662910720894,289.01505149194617,60.53983571175553,EXPAND
PHX-DFW,Phoenix,Dallas/Fort Worth,1939496.3000000005,38.43002032816225,0.8847451235098158,136.71646917396532,60.17349666850686,EXPAND
SEA-ATL,Seattle-Tacoma,Atlanta,5403185.259999999,44.23093401036403,0.8625814452471408,-51.80062008108752,60.04123077341489,EXPAND
ORD-DEN,Chicago O'Hare,Denver,1744182.6,37.76739741650972,0.8347736152608596,120.30386740331491,59.86192575829272,EXPAND
ORD-DTW,Chicago O'Hare,Detroit,1032324.76,50.24759060964319,0.8939781319697546,-52.60560600078957,59.70889743100175,EXPAND
DFW-SEA,Dallas/Fort Worth,Seattle-Tacoma,2652378.83,33.89987730636194,0.8473922993535954,118.7631173919127,59.167174322298145,EXPAND
SEA-GEG,Seattle-Tacoma,Spokane,1155110.51,50.001603794099815,0.7982248265758973,123.15087306258583,59.06314726767754,EXPAND
DTW-ORD,Detroit,Chicago O'Hare,1596716.29,55.394562681042,0.8206798362697989,12.995531894666792,58.882082996086616,EXPAND
SEA-JFK,Seattle-Tacoma,New York JFK,7103982.509999999,49.30304389025515,0.8397287522603978,16.854365193955147,58.561322337155616,EXPAND
ATL-DFW,Atlanta,Dallas/Fort Worth,1515538.5300000007,35.26657305054856,0.8160693102863922,155.60585885486017,58.539075730602676,EXPAND
BOI-SLC,Boise,Salt Lake City,1108015.3000000005,48.97435091748003,0.879219084664812,103.11526479750779,58.44256495762353,EXPAND
ATL-STL,Atlanta,St. Louis,1303120.41,36.24015934896952,0.8544430538172716,177.2707034728406,57.768725537585865,EXPAND
BOS-ATL,Boston,Atlanta,1753701.5,41.5876688581344,0.8363923550781867,139.30368283356813,57.13074304887035,EXPAND
FAR-SEA,Fargo,Seattle-Tacoma,2655853.26,36.67888714692912,0.8478770990687101,165.2131211942644,56.87497455317896,EXPAND
SEA-DFW,Seattle-Tacoma,Dallas/Fort Worth,3672158.37,40.80491307034874,0.827590827303702,18.37331772966647,56.831332007971525,EXPAND
ATL-DEN,Atlanta,Denver,2730442.3599999994,38.76791089913784,0.8646582908709013,-25.7177255047231,56.78596191684774,EXPAND
STL-SEA,St. Louis,Seattle-Tacoma,4542146.31,42.01802951665387,0.8888673150583376,-1.0822982494370597,56.60114495822588,EXPAND
BOI-DEN,Boise,Denver,2729252.62,48.272994744907,0.8563721686435355,3.459488754403396,56.59676136221547,EXPAND
DFW-JFK,Dallas/Fort Worth,New York JFK,2348623.460000001,37.612070069635365,0.8530546623794212,122.21975088967972,56.287052655168715,EXPAND
ORD-GEG,Chicago O'Hare,Spokane,3923972.94,42.54568731940009,0.8588660656488308,54.630515683147266,55.993189331238554,EXPAND
JFK-SEA,New York JFK,Seattle-Tacoma,5103876.6,45.063575850790194,0.8410342717258262,22.913205980066444,55.903516958631414,EXPAND
DFW-SFO,Dallas/Fort Worth,San Francisco,2222325.3100000005,33.70018106980074,0.8543306193726895,183.00278035217795,55.684076113069715,EXPAND
